true,hybrid,strata
10494545.0,15054208.667158827,Q1
4500.0,1491120.7195968446,Q3
615752.0,13128871.98912223,Q5
5000.0,1864810.2898110098,Q3
957744.0,3327386.9369383873,Q2
312642.0,3180026.4395863605,Q4
10079201.0,50186629.31075935,Q5
1.0,2986858.2247651042,Q1
17506878.0,17948533.84993603,Q2
100.0,2309541.385128549,Q2
158256993.0,52276741.897258155,Q1
8400000.0,10616732.927543173,Q5
500000.0,2862701.0055960747,Q4
6512004.0,7427858.25738004,Q4
2500000.0,4182275.8699174593,Q4
100000.0,2520926.655171655,Q3
280.0,2995383.1961662057,Q2
19700000.0,13558489.718986427,Q5
1000000.0,1260149.5256161313,Q3
33422806.0,25740850.150775217,Q1
3145.0,5612255.392789613,Q3
140666.0,15919821.025006153,Q5
6000.0,1947127.929936742,Q3
113000.0,3509363.4378099493,Q3
15151736.0,9044471.480235592,Q1
3168000.0,8391953.562200258,Q1
9000000.0,4388307.30483534,Q4
500.0,2275999.033239277,Q2
28951.0,2740616.048878073,Q4
8586944.0,-1868292.0598176597,Q1
4611.0,9449130.82473518,Q1
500000.0,2022177.8391465226,Q3
15020702.0,113035762.31747529,Q5
41412264.0,24903911.82363563,Q5
191051.0,2448077.96089641,Q3
165.0,12144003.84335034,Q1
4530929.0,7633624.24065072,Q1
500000.0,2753328.186994805,Q4
2950.0,1664942.6214011519,Q3
184724494.0,142589586.41095066,Q5
79275328.0,77840776.28659645,Q5
33187.0,15525689.189730624,Q2
55003890.0,122713467.66376618,Q5
1.0,3909144.757931541,Q2
12000000.0,8317836.949569942,Q1
7000000.0,3452837.557624312,Q3
1657449.0,23596322.036800534,Q1
675000.0,2431145.228714991,Q3
78655.0,3199144.2578293397,Q3
1543385.0,8868676.08449632,Q1
50000.0,1786412.7610215938,Q3
46261438.0,196754169.01732782,Q5
78000.0,2765599.2506924085,Q4
351266433.0,240903569.11115786,Q5
16215856.0,8717019.79131912,Q1
703.0,2069118.6881175337,Q3
71.0,2309541.385128549,Q2
29000301.0,54047045.82839315,Q1
9804775.0,19830949.33952126,Q1
10000.0,4064762.940785696,Q3
5000000.0,23270260.75563931,Q1
10000.0,1756591.9879489853,Q3
30000.0,1657024.3332801878,Q3
2566717.0,8912628.020586545,Q1
2156000.0,13638107.141166333,Q1
3000000.0,5189239.775353272,Q3
10.0,2309541.385128549,Q2
5672031.0,17331028.188664928,Q4
1345315.0,9345563.70320121,Q1
1600000.0,5090085.252814353,Q3
3100000.0,3557109.655903113,Q4
133511855.0,135143210.1340706,Q5
78608288.0,55050975.81378676,Q5
10000000.0,3556834.8047797936,Q4
2800000.0,3927174.0327150207,Q4
60330833.0,10902384.878043784,Q1
37713879.0,64970392.63885345,Q5
100000.0,12965744.555120666,Q5
2225698.0,20039742.998460516,Q1
20.0,2309541.385128549,Q2
3087982.0,2748369.6046383227,Q4
462107.0,3757595.3099495047,Q4
15000.0,1667602.241330936,Q3
500000.0,2591663.4437684882,Q4
13249535.0,16967589.63632305,Q5
19.0,7687337.773256837,Q2
546904.0,8187547.156181444,Q1
1500000.0,2781525.440993015,Q4
76858273.0,69015143.71568494,Q5
9.0,8314994.236369019,Q2
2067940.0,3632197.866956245,Q2
540000.0,2637540.261329944,Q3
1.0,2309541.385128549,Q2
41063475.0,19054015.487434838,Q4
13000000.0,5349663.314940314,Q4
6203044.0,13870504.87588007,Q5
4026795.0,7228906.091382555,Q4
10.0,14522282.799085127,Q2
