true,hybrid,strata
10494545.0,13603861.129368993,Q1
4500.0,759019.0324688343,Q3
615752.0,11527004.576376937,Q5
5000.0,683419.856582289,Q3
957744.0,3873051.001380348,Q2
312642.0,3659627.378959386,Q4
10079201.0,39834975.947689414,Q5
1.0,1482259.0165921575,Q1
17506878.0,20537604.81983404,Q2
100.0,542527.2936955483,Q2
158256993.0,78846701.34208263,Q1
8400000.0,9247626.780363474,Q5
500000.0,2360631.7146320627,Q4
6512004.0,7752384.894541919,Q4
2500000.0,3860820.574953718,Q4
100000.0,3238056.220904881,Q3
280.0,707317.2512883322,Q2
19700000.0,10575581.0348397,Q5
1000000.0,710571.0087328168,Q3
33422806.0,28095282.72279069,Q1
3145.0,3157584.5497086844,Q3
140666.0,12215934.122199949,Q5
6000.0,1247416.984070442,Q3
113000.0,1263189.2952215536,Q3
15151736.0,8248146.445639247,Q1
3168000.0,9017354.051384645,Q1
9000000.0,4317533.835594991,Q4
500.0,542524.5031086096,Q2
28951.0,2519338.547697599,Q4
8586944.0,55627386.95197486,Q1
4611.0,8558346.494779024,Q1
500000.0,3371806.082220393,Q3
15020702.0,91831811.50752479,Q5
41412264.0,27385927.751818605,Q5
191051.0,2735493.511112662,Q3
165.0,8526291.846567772,Q1
4530929.0,8970099.985686336,Q1
500000.0,2614382.758178351,Q4
2950.0,748232.103485074,Q3
184724494.0,105859756.09843683,Q5
79275328.0,63889169.11931965,Q5
33187.0,9712351.8992444,Q2
55003890.0,140919066.94448945,Q5
1.0,542526.5666774549,Q2
12000000.0,8474560.070437994,Q1
7000000.0,-1005824.1162440926,Q3
1657449.0,39602582.872067966,Q1
675000.0,3572091.2901060176,Q3
78655.0,6685203.717137267,Q3
1543385.0,8407548.440109748,Q1
50000.0,713448.7577151747,Q3
46261438.0,99578841.93833917,Q5
78000.0,2453291.2516861027,Q4
351266433.0,157845065.89165384,Q5
16215856.0,8052521.316325786,Q1
703.0,958057.1263037699,Q3
71.0,542527.2936955483,Q2
29000301.0,9568992.485554527,Q1
9804775.0,8934982.893848605,Q1
10000.0,4613282.735267,Q3
5000000.0,17444296.560742434,Q1
10000.0,735607.1854132569,Q3
30000.0,745908.9230097444,Q3
2566717.0,8318820.233076252,Q1
2156000.0,11232898.776627813,Q1
3000000.0,6603014.197008012,Q3
10.0,542527.2936955483,Q2
5672031.0,14516138.04421244,Q4
1345315.0,8446146.456813162,Q1
1600000.0,5080961.158374334,Q3
3100000.0,3245321.4084304846,Q4
133511855.0,114914032.70082933,Q5
78608288.0,58809342.32448429,Q5
10000000.0,3853557.1003878973,Q4
2800000.0,3203308.704010414,Q4
60330833.0,24194367.411294434,Q1
37713879.0,91666224.17407161,Q5
100000.0,11925252.872497296,Q5
2225698.0,24234251.02433456,Q1
20.0,542527.2936955483,Q2
3087982.0,2472234.9082053266,Q4
462107.0,3451068.036355571,Q4
15000.0,765714.2124475536,Q3
500000.0,2458092.401572518,Q4
13249535.0,15586314.104381243,Q5
19.0,3046931.127586647,Q2
546904.0,7720603.631880829,Q1
1500000.0,2480949.0075739045,Q4
76858273.0,57306091.09184562,Q5
9.0,7578223.715667576,Q2
2067940.0,3237316.0830032313,Q2
540000.0,3245375.6225327714,Q3
1.0,542527.2936955483,Q2
41063475.0,23722698.563054584,Q4
13000000.0,3497802.6013860246,Q4
6203044.0,13736458.671687901,Q5
4026795.0,7549311.993844088,Q4
10.0,13828399.90518424,Q2
702851.0,2691303.022535417,Q1
