true,hybrid,strata
10494545.0,6001865.5,Q1
4500.0,-493216.125,Q3
615752.0,8811640.0,Q5
5000.0,1167442.0,Q3
957744.0,1229460.0,Q2
312642.0,6460656.0,Q4
10079201.0,20203052.0,Q5
1.0,633461.3125,Q1
17506878.0,16784632.0,Q2
100.0,169208.859375,Q2
158256993.0,146586256.0,Q1
8400000.0,6315927.5,Q5
500000.0,5798787.0,Q4
6512004.0,4561207.5,Q4
2500000.0,2629620.75,Q4
100000.0,3223155.75,Q3
280.0,-1775277.5,Q2
19700000.0,7474395.0,Q5
1000000.0,1017139.0,Q3
33422806.0,36113084.0,Q1
3145.0,17283932.0,Q3
140666.0,14193345.0,Q5
6000.0,-1205512.5,Q3
113000.0,587528.0,Q3
15151736.0,3559041.5,Q1
3168000.0,6375258.0,Q1
9000000.0,3374908.75,Q4
500.0,-18688.4453125,Q2
28951.0,1735144.75,Q4
8586944.0,9897103.0,Q1
4611.0,1405427.25,Q1
500000.0,629389.75,Q3
15020702.0,30664756.0,Q5
41412264.0,34030544.0,Q5
191051.0,5583831.5,Q3
165.0,9512769.0,Q1
4530929.0,13808813.0,Q1
500000.0,1634166.5,Q4
2950.0,1010733.1875,Q3
184724494.0,139055520.0,Q5
79275328.0,69317296.0,Q5
33187.0,13245388.0,Q2
55003890.0,82924240.0,Q5
1.0,-3105748.5,Q2
12000000.0,9091409.0,Q1
7000000.0,-9847780.0,Q3
1657449.0,2565781.0,Q1
675000.0,8168197.0,Q3
78655.0,10099154.0,Q3
1543385.0,5711704.0,Q1
50000.0,42900.875,Q3
46261438.0,88417448.0,Q5
78000.0,3439800.5,Q4
351266433.0,290615808.0,Q5
16215856.0,6999617.0,Q1
703.0,16792882.0,Q3
71.0,55530.703125,Q2
29000301.0,20071068.0,Q1
9804775.0,7004142.0,Q1
10000.0,4123567.0,Q3
5000000.0,1282102.25,Q1
10000.0,134657.53125,Q3
30000.0,114748.125,Q3
2566717.0,6297401.0,Q1
2156000.0,1945668.25,Q1
3000000.0,2913396.0,Q3
10.0,-735751.0625,Q2
5672031.0,11381818.0,Q4
1345315.0,5909718.0,Q1
1600000.0,1480917.0,Q3
3100000.0,1546095.75,Q4
133511855.0,125830720.0,Q5
78608288.0,64150692.0,Q5
10000000.0,3333239.25,Q4
2800000.0,1599603.5,Q4
60330833.0,45088652.0,Q1
37713879.0,54043796.0,Q5
100000.0,4207019.0,Q5
2225698.0,21552384.0,Q1
20.0,-133583.96875,Q2
3087982.0,1175484.625,Q4
462107.0,3377254.0,Q4
15000.0,-320257.875,Q3
500000.0,1806993.75,Q4
13249535.0,9579578.0,Q5
19.0,3207205.0,Q2
546904.0,1373795.375,Q1
1500000.0,3724310.5,Q4
76858273.0,68136848.0,Q5
9.0,8356844.0,Q2
2067940.0,7045545.0,Q2
540000.0,-1145338.0,Q3
1.0,-1034342.375,Q2
41063475.0,32208804.0,Q4
13000000.0,5002241.5,Q4
6203044.0,15032116.0,Q5
4026795.0,3856643.5,Q4
10.0,3757548.5,Q2
702851.0,2940651.0,Q1
200000.0,2919633.75,Q3
6.0,8673729.0,Q1
2900000.0,1219627.0,Q1
10000.0,1010733.1875,Q3
2300000.0,5763291.5,Q1
284881603.0,236926784.0,Q5
9.0,-188409.640625,Q2
56241417.0,44133224.0,Q1
125983972.0,74509592.0,Q2
300000.0,6783985.0,Q3
228894.0,-245917.5625,Q1
3700000.0,-5979656.5,Q3
50000.0,2560430.5,Q4
5399340.0,11902704.0,Q5
7369373.0,11323650.0,Q1
4000000.0,5379454.0,Q4
700381748.0,574899712.0,Q5
30000.0,9392356.0,Q3
16559.0,6602376.0,Q1
2049844.0,33308664.0,Q2
24.0,-180847.125,Q2
8654110.0,6648760.0,Q1
24400000.0,-437630.25,Q4
3300000.0,3157311.5,Q4
20725409.0,23792670.0,Q2
13975.0,12567764.0,Q2
3.0,6871562.5,Q2
2000000.0,3514559.75,Q4
382454.0,2888844.25,Q4
55000.0,4660711.5,Q3
8838757.0,1425336.5,Q1
6700000.0,9506154.0,Q1
38068353.0,19524420.0,Q5
3100000.0,335500.21875,Q4
806000.0,2607552.75,Q4
1782801.0,2830141.25,Q4
2200000.0,2986115.0,Q4
15714.0,3897547.0,Q1
3282232.0,2441441.0,Q2
1015000.0,497724.78125,Q4
400000.0,5916016.0,Q5
161626121.0,152792512.0,Q5
24640027.0,28112320.0,Q2
10000.0,1346569.125,Q3
150.0,-296043.21875,Q2
100000.0,101899.96875,Q3
1453270.0,7376080.0,Q5
5000.0,-762673.5625,Q3
1800.0,13823177.0,Q5
56150957.0,63442448.0,Q5
769481.0,21635936.0,Q5
21156270.0,22118560.0,Q5
2400000.0,6243128.5,Q1
500.0,-1569192.375,Q3
9800000.0,3207255.0,Q4
6423381.0,13748959.0,Q5
78720293.0,93458288.0,Q5
4300.0,-1569192.375,Q3
200000.0,3140625.25,Q3
21000000.0,17332488.0,Q5
2800000.0,2973268.25,Q4
1500.0,-909167.5,Q3
50.0,-499687.8125,Q2
557169.0,7954694.5,Q1
1920000.0,1163797.75,Q4
2600000.0,6239791.5,Q5
9600000.0,3188546.5,Q4
275000.0,1538019.5,Q3
10743000.0,13749656.0,Q5
81455.0,15743376.0,Q2
19.0,-661225.375,Q2
3900000.0,4981288.0,Q4
190000.0,5319617.5,Q3
1144000.0,6967740.5,Q4
10882920.0,6047251.0,Q1
128015.0,-659018.0,Q1
1594955.0,21828636.0,Q5
440.0,-2242281.75,Q2
1000.0,472808.5,Q3
500000.0,1368033.125,Q4
1.0,-2352905.75,Q1
354877.0,2141837.25,Q3
7700000.0,3424219.75,Q4
4000000.0,5314605.5,Q4
2.0,2615379.75,Q4
3700000.0,3106901.75,Q4
4444.0,1617391.0,Q1
204000.0,1849380.625,Q3
252909177.0,175125248.0,Q5
100000.0,114748.125,Q3
1000000.0,1662979.125,Q4
1000.0,-2385007.0,Q2
6069605.0,20650406.0,Q5
325000.0,1058553.25,Q3
368307760.0,333122144.0,Q5
33157615.0,28252488.0,Q5
2000000.0,1499887.375,Q4
4074023.0,6471169.0,Q5
1798500.0,2561874.0,Q2
302459.0,7625988.0,Q2
17.0,265161.75,Q2
1200000.0,8270680.0,Q2
12000000.0,5178646.0,Q5
200.0,17613.40625,Q2
43000000.0,8835182.0,Q2
81089.0,3992247.25,Q2
4154000.0,7511393.5,Q1
489389.0,6473295.5,Q2
2000000.0,13199570.0,Q4
6011000.0,6504137.0,Q5
29152618.0,48155268.0,Q5
7518876.0,13296388.0,Q5
73260114.0,67388088.0,Q1
351839303.0,293767808.0,Q5
10615000.0,5533156.0,Q1
120000.0,-189923.0,Q3
10375893.0,2236738.0,Q2
3.0,26616.09375,Q3
1001305.0,5053639.0,Q4
20000.0,9774328.0,Q3
20016254.0,8125988.0,Q1
31307.0,69549792.0,Q3
117501013.0,121373168.0,Q5
3000000.0,5776662.0,Q4
56631572.0,41999260.0,Q5
5086909.0,4065432.5,Q1
600000.0,755895.25,Q3
708973.0,11289182.0,Q2
292351275.0,318142144.0,Q5
43.0,20980428.0,Q1
1015744.0,15697876.0,Q2
7270000.0,6618640.0,Q1
50000.0,-376931.4375,Q3
6191746.0,11420899.0,Q5
4.0,-1043669.4375,Q3
2100000.0,2143993.25,Q4
12638526.0,34545360.0,Q5
14000.0,4004058.25,Q3
1.0,-133583.96875,Q2
201055.0,8767421.0,Q2
500000.0,4268625.5,Q3
1958955.0,-5829824.0,Q3
100000.0,1449389.0,Q3
6900000.0,1565271.25,Q4
1061.0,7008572.0,Q2
2400000.0,3185418.0,Q4
1241891456.0,1248820096.0,Q5
200723.0,3123092.25,Q1
252706.0,7157640.5,Q2
3700000.0,3106901.75,Q4
4.0,-1175996.375,Q2
134906.0,782207.25,Q3
1947099.0,7710770.5,Q1
2884265.0,14543970.0,Q2
18957.0,5542201.5,Q2
1100000.0,694407.8125,Q4
13107237.0,12734003.0,Q1
200000.0,3102616.5,Q3
450.0,-762673.5625,Q3
2727971.0,7148358.0,Q1
2459000.0,1951120.625,Q4
48686605.0,77167288.0,Q5
16000000.0,16013786.0,Q4
29163535.0,67488176.0,Q5
5000000.0,-10975399.0,Q3
676045.0,4314892.5,Q4
285000.0,8529381.0,Q5
65421267.0,15895196.0,Q2
340677200.0,299596256.0,Q5
13638.0,5394029.0,Q2
1029455.0,-791804.5,Q3
10000.0,245826.046875,Q3
17.0,-661225.375,Q2
1.0,-5951471.0,Q2
117000.0,654003.375,Q3
1000000.0,6329387.5,Q1
3000000.0,4209736.0,Q4
33145.0,1167442.0,Q3
27741.0,8301893.5,Q1
300.0,-2385007.0,Q2
53431158.0,88949664.0,Q5
18750000.0,4976704.0,Q2
11000.0,-11059.5625,Q3
2000000.0,5053551.0,Q1
43625095.0,27237356.0,Q4
1.0,-716722.25,Q1
160542134.0,176092512.0,Q5
15550000.0,8122945.5,Q5
80000.0,1479589.75,Q4
467306.0,2715111.75,Q4
2066633.0,11715288.0,Q2
334000000.0,303113632.0,Q1
113484.0,-791614.8125,Q1
188964.0,-4123007.25,Q1
403547.0,5784054.0,Q4
2.0,1724793.0,Q1
10051659.0,37838136.0,Q5
855156907.0,837895936.0,Q5
10000000.0,7033126.0,Q5
432671.0,5199201.0,Q5
10000.0,904992.5,Q3
541719.0,6766885.0,Q5
185576.0,8239231.0,Q1
408198.0,9342207.0,Q3
2700000.0,8373887.0,Q2
513447.0,6327835.5,Q1
17754.0,6998152.0,Q1
230000.0,1266384.125,Q4
1013596.0,4024066.5,Q1
669276.0,12977868.0,Q5
6897446.0,13214449.0,Q1
3500000.0,1626625.125,Q4
4000000.0,5643215.0,Q1
1200000.0,13910427.0,Q3
1500000.0,5223919.5,Q2
100000.0,303800.625,Q3
15.0,-193233.90625,Q2
37.0,156568.953125,Q2
5873.0,1639419.0,Q3
11.0,3669455.25,Q2
3478368.0,4266999.0,Q2
418235869.0,418640512.0,Q5
278000.0,2548416.0,Q1
95589.0,2440255.25,Q3
100000.0,1366771.375,Q3
984936.0,12486301.0,Q4
39.0,-1952751.25,Q2
212200.0,3082494.25,Q3
10232.0,-2643247.75,Q1
12000.0,7663887.0,Q5
25.0,-661225.375,Q2
300.0,-1818218.25,Q2
12421716.0,13692374.0,Q2
20000.0,-495375.25,Q3
20000.0,11066144.0,Q3
1240000.0,2481172.75,Q4
1500000.0,4301347.5,Q3
27000000.0,24086442.0,Q5
132675864.0,148474352.0,Q5
50000.0,-605990.125,Q3
14.0,3415505.5,Q1
10000.0,340526.1875,Q3
2400000.0,-215356.25,Q1
1204739.0,8346003.5,Q4
2505528.0,2999512.0,Q4
400000.0,9427863.0,Q3
30000000.0,4603618.0,Q2
16657800.0,30825004.0,Q5
3745000.0,2177891.25,Q4
27814.0,3897310.0,Q3
500000.0,1169270.75,Q3
10000.0,3595351.25,Q3
9600000.0,12814769.0,Q5
138.0,3338655.0,Q1
1.0,380862.65625,Q1
1303459585.0,1257529600.0,Q5
400.0,943485.9375,Q3
3.0,-1891800.0,Q1
160188546.0,60401856.0,Q2
500000.0,528700.75,Q4
34000000.0,21230260.0,Q5
182710.0,3799852.0,Q4
4372130.0,21162594.0,Q1
2.0,2002413.25,Q2
4850.0,42329.140625,Q3
4472886.0,3253500.75,Q4
687505.0,1994832.375,Q1
100000.0,303829.8125,Q3
11303040.0,10359951.0,Q4
179780.0,2504389.5,Q1
962119864.0,863046016.0,Q5
3423685.0,3209200.0,Q4
21.0,3484683.0,Q2
66265218.0,58304368.0,Q2
11000.0,1064121.875,Q3
1.0,4048320.5,Q1
